"","GLORIA_ID","Baseline_shift","Oxygen_Peak","Noisy_RedEdge","Noisy_Uv","Slope_UV"
"1","GID_1",0,0,0,0,0
"2","GID_2",0,0,0,0,0
"3","GID_3",0,0,0,0,0
"4","GID_4",0,0,0,0,0
"5","GID_5",0,0,0,0,0
"6","GID_6",0,0,0,0,0
"7","GID_7",0,0,0,0,0
"8","GID_8",0,0,0,0,0
"9","GID_9",0,0,0,0,0
"10","GID_10",0,0,0,0,0
"11","GID_11",0,0,0,0,0
"12","GID_12",0,0,0,0,0
"13","GID_13",0,0,0,0,0
"14","GID_14",0,0,0,0,0
"15","GID_15",0,0,0,0,0
"16","GID_16",0,0,0,0,0
"17","GID_17",0,0,0,0,0
"18","GID_18",0,0,0,0,0
"19","GID_19",0,0,1,0,1
"20","GID_20",0,0,0,0,0
"21","GID_21",0,0,0,0,1
"22","GID_22",0,0,0,0,0
"23","GID_23",0,0,0,0,0
"24","GID_24",0,1,0,0,0
"25","GID_25",0,0,0,0,0
"26","GID_26",0,0,0,0,0
"27","GID_27",0,0,0,0,0
"28","GID_28",0,0,0,0,0
"29","GID_29",0,0,0,0,0
"30","GID_30",0,0,0,0,0
"31","GID_31",0,0,0,0,0
"32","GID_32",0,0,0,0,0
"33","GID_33",0,0,0,0,0
"34","GID_34",0,0,0,0,0
"35","GID_35",0,0,0,0,0
"36","GID_36",0,0,0,0,0
"37","GID_37",1,0,0,0,0
"38","GID_38",0,0,0,0,0
"39","GID_39",0,0,0,0,0
"40","GID_40",0,0,0,0,0
"41","GID_41",0,0,0,0,0
"42","GID_42",0,0,0,0,0
"43","GID_43",0,0,0,0,0
"44","GID_44",0,1,0,0,0
"45","GID_45",0,1,0,0,0
"46","GID_46",0,0,0,0,0
"47","GID_47",0,0,0,0,0
"48","GID_48",0,0,0,0,0
"49","GID_49",0,0,0,0,0
"50","GID_50",0,0,0,0,0
"51","GID_51",0,0,0,0,0
"52","GID_52",0,0,0,0,0
"53","GID_53",0,0,0,0,0
"54","GID_54",0,0,0,0,0
"55","GID_55",0,0,0,0,0
